날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
2022-06-01,36,10,0.054,0.009,0.2,0.004
2022-06-02,40,13,0.050,0.013,0.3,0.004
2022-06-03,55,21,0.066,0.014,0.4,0.004
2022-06-04,49,20,0.057,0.011,0.3,0.004
2022-06-05,28,12,0.045,0.008,0.2,0.004
2022-06-06,23,9,0.027,0.010,0.2,0.004
2022-06-07,18,5,0.025,0.011,0.2,0.004
2022-06-08,30,12,0.035,0.011,0.2,0.003
2022-06-09,39,18,0.042,0.011,0.3,0.003
2022-06-10,52,23,0.055,0.014,0.3,0.003
2022-06-11,47,20,0.054,0.014,0.4,0.003
2022-06-12,34,14,0.053,0.007,0.2,0.003
2022-06-13,35,12,0.044,0.008,0.2,0.003
2022-06-14,25,8,0.031,0.009,0.2,0.003
2022-06-15,28,13,0.045,0.008,0.3,0.003
2022-06-16,26,11,0.048,0.008,0.2,0.003
2022-06-17,42,18,0.036,0.013,0.3,0.003
2022-06-18,26,9,0.041,0.007,0.2,0.003
2022-06-19,27,10,0.041,0.008,0.2,0.003
2022-06-20,38,15,0.049,0.012,0.3,0.003
2022-06-21,50,19,0.044,0.017,0.4,0.004
2022-06-22,45,18,0.043,0.014,0.3,0.003
2022-06-23,36,17,0.044,0.010,0.3,0.003
2022-06-24,22,9,0.059,0.005,0.3,0.003
2022-06-25,46,24,0.074,0.007,0.4,0.003
2022-06-26,25,9,0.047,0.004,0.2,0.003
2022-06-27,16,2,0.028,0.005,0.1,0.003
2022-06-28,21,4,0.027,0.003,0.1,0.003
2022-06-29,15,4,0.036,0.005,0.2,0.003
2022-06-30,15,3,0.039,0.008,0.2,0.003
,,,,,,
